Business Name,Business Type,Physical Location/Address,Business Zipcode,Business Website,Business Phone Number,Business Email,Other Information
Jennifer Sahady,Education,Commonwealth Ave,02215,https://www.jennifersahady.com/,(617) 752-1737,jennifer@jennifersahady.com,N/A
Little Spanish Garden Family Childcare,Education,15 Lothrop avenue,02186,,6178589743,yalennysvelazquez@hotmail.com,N/A
Presidential Properties L.L.C.,Professional Services,17 Myrtle Street,02114,https://yourbostonapartments.com/,617-256-5516,Kristie@PresidentialProperties.us,N/A
DavisKelly Certified Public Accountants,"Financial Services, Professional Services","4238 Washington Street, Ste. 307",02131,https://www.daviskellycpas.com/,(617) 390-5734,info@daviskellycpas.com,Minority-owned
Culture Driven Growth ,Professional Services,"300 Bolyston St, Boston MA ",02116,https://CultureDrivenGrowth.com,3392220211,mary@culturedrivengrowth.com,N/A
Home Care Heroes Group,Healthcare,26 True St.,02151,,13394406500,homecareheroesgroup@gmail.com,N/A
YOCO,Wellness,391 Revolution Drive,02145,https://www.yoco.space/,7742748966,yogainom@gmail.com,Minority-owned
The Mindful Mutt,Pet Care,"Allston, Brighton, Brookline",02135,https://www.themindfulmutt.com/,631-680-9202,themindfulmuttboston@gmail.com,Minority-owned
J’ Allure Interior Design & Consulting ,Professional Services,764 Washington st,02124,https://www.jalluredesigns.com/,617-615-6549,Janice@jalluredesigns.com,Minority-owned
"L.E.Creamer and Co. - Professional Organizing, Decluttering, Styling, and Sourcing",Professional Services,N/A,02129,https://www.lecreamerandco.com/,617-286-6166,lecreamerandco@gmail.com,N/A
Deirfiur Home,Retail,"735 East Broadway, Boston, MA 02127",02127,https://www.deirfiurhome.com/,1 617-752-4182,caitlin@deirfiurhome.com,N/A
N/A,"Bio-tech & Life Sciences, Clean-tech/Green-tech, Creative Economy, Education, Financial Services, Food and Beverage, Healthcare, Manufacturing, Professional Services, Restaurant & Catering, Retail, Technology, Tourism",153 Theodore Parker Road,02132,,6179573010,alanna.kelly0813@gmail.com,N/A
"Justice For Housing, Inc","Education, Professional Services, Non Profit",41 Round Hill Street,02130,https://www.justice4housing.org,18572585052,lcredle@justice4housing.org,Minority-owned
Bead + Fiber,Retail,460A Harrison Avenue,02118,http://www.beadandfiber.com,6174262323,sara@beadandfiber.com,Minority-owned
Carnation Capital,Professional Services,349 Pleasant Street,02148,https://www.carnationcapital.com,(857) 529-6995,info@carnationcap.com,N/A
"Artful D Creations, LLC","Creative Economy, Retail",No Physical Address,02136,https://www.artfuldcreations.com,8577195280,artfuldcreations@gmail.com,"Minority-owned, Immigrant-owned"
The Yoga Playground,"Education, Healthcare, Retail, Fitness/Wellness",126 W 8th Street,02127,https://www.yogaplayground.org/,6179434408,theyoga.playground@gmail.com,N/A
British Swim School - City of Boston ,"Education, Swim School ","111 Boylston St Brookline Ma, 55 Ariadne Rd. Dedham, Ma",02186,https://britishswimschool.com/city-of-boston/,617-910-2568,goswimboston@britishswimschool.com,Minority-owned
Happy Places Plant Design,Professional Services,Medford MA,02155,www.happyplacesplantdesign.com,6175016530,alyssa@happyplacesplantdesign.com,N/A
GreenGear Supply Company Inc. ,Clean-tech/Green-tech,"Boston, MA",02116,greengearsupply.com,,Info@greengearsupply.com,Minority-owned
aneufit,Professional Services,364 Boylston St. Fl4 Boston MA 02116,02116,www.aneufit.com,617-681-4776,info@aneufit.com,Minority-owned
Little Cocoa Bean Co. ,"Food and Beverage, Retail","114 South Street, Jamaica Plain, MA 02131 (we're in construction)",02131,www.littlecocoabeanco.com ,6173313226,tskelly@littlecocoabeanco.com,Minority-owned
Drumi,Retail,31 St James Ave,02116,www.drumi.com,8444253556,kanchan@drumi.com,Immigrant-owned
Esthetics Center New England,Professional Services,14 Mica Lane,02115,estheticscenterne.com,7812354957,info@estheticscenterne.com,Minority-owned
Paramo Snacks,"Food and Beverage, Retail","399 Congress St,  # 602",02210,www.paramosnacks.us,6173187501,margarita.cabal@paramosnacks.com,Minority-owned
Sprinkles Ice Cream,Food and Beverage,120 Faneuil Hall Marketplace,02109,www.quincymarketsweets.com,617-367-0569,Syoungelson@aol.com,N/A
Quincy's Place,Food and Beverage,254 Faneuil Hall Marketplace,02109,www.quincymarketsweets.com,617-723-3635,Syoungelson@aol.com,N/A
Kilvert & Forbes Bake Shop,Food and Beverage,200 Faneuil Hall Marketplace,02109,www.quincymarketsweets.com,617-723-6050,Syoungelson@aol.com,N/A
"Sylvia M. Singleton, CPA",Financial Services,"5230 Washington Street, Ste. 1, West Roxbury",02132,www.smsingletoncpa.com,617-390-2077,sylvia@smsingletoncpa.com,Minority-owned
JaMa Professional Cleaning,Building Services-Cleaning,1269 Hyde Park Ave395667,02136,www.jamaprocleaning.com,+11617899438,maria@jamapro.com,Minority-owned
Jenn Márquez Photographer,Professional Services,"Boston, MA",02131,www.jennmarquez.com,,jmarquezphotography@gmail.com,Minority-owned
The Soul Supplier,"Education, Financial Services, Professional Services",425 Massachusetts Ave,02139,https://thesoulsupplier.com,401-696-8400,sukia@thesoulsupplier.com,Minority-owned
Che Iconic,Creative Economy,"675 VFW PKWY BOSTON, MA",02131,CHEICONIC.COM,,HELLO@CHEICONIC.COM,Minority-owned
Dianna Mitchy Inc.,"Education, Healthcare, Professional Services, Heath & Wellness",425 Massachusetts Ave,02139,https://www.linkedin.com/in/dianna-mitchy/,800-208-1768 ext 711,chris@diannamitchy.com,"Minority-owned, Immigrant-owned"
Red Dress Events LLC ,Professional Services,"26 Mallon Road, Dorchester Massachusetts ",02121,,617-602-8556 ,Reddressevents@outlook.com ,Minority-owned
Grace Legal Support Services,Professional Services,P.O Box 82,02131,www.gracelegalsupport.com,617-615-9701,wendy@gracelegalsupport.com,"Minority-owned, Veteran-owned"
VS Nailz,Professional Services,305 Hancock Street,02125,,8574924621,kiara.kerr@gmail.com,Minority-owned
A SQUARE DESIGN LLC,Interior Design Services,"Boston, MA",02115,asquaredesignboston.com,339.222.7613,anddie@asquaredesignboston.com,"Minority-owned, Immigrant-owned"
DEMP Agency,"Creative Economy, Professional Services","46 Newton St Boston, MA",02135,dempagency.com,,hello@dempagency.com,"Minority-owned, Immigrant-owned"
Bell Chiropractic Boston,Healthcare,20 Park Plaza Suite 614,02116,www.bellchiropracticboston.com,6173567759,Harmony@bellchiropracticboston.com,N/A
Branchfood,Professional Services,"50 Milk Street, Floor 16 Boston MA ",02109,www.branchfood.com,,info@branchfood.com,N/A
Branch Venture Group,Financial Services,"50 Milk Street, Fl 16 Boston MA ",02109,www.branchventuregroup.com,,info@branchventuregroup.com,N/A
Casa Mia Tours,Tourism,Hyde Park,02136,www.casamiatours.com,7818599323,carolyn@casamiatours.com,N/A
Little Pickins,CPG Food Company - Frozen Meal Bites for Kids,196 Quincy St (where we produce product) / Grocery stores throughout New England (where we sell product),02121,https://littlepickins.com/,,hello@littlepickins.com,N/A
"Love Child, LLC","Food and Beverage, Retail, Florist","364 W Broadway Boston, MA",02127,www.lovechild.co,6174805512,info@lovechild.co,N/A
Bell Chiropractic Boston,Healthcare,20 Park Plaza,02116,www.bellchiropracticboston.com,6173567759,harmony@bellchiropracticboston.com,N/A
F3 Wellness Connections,Health and wellness ,15 Sandra Rd,02302,f3wellnessconnections.com,2026567330,sarah@f3wellnessconnections.com,"Minority-owned, Veteran-owned, Immigrant-owned"
Sweet Temptations,Retail,1340 Centre Street,02124,www.sweettemptationz.com,6175127731,tb@sweettemptationz.com,Minority-owned
Boston Baked Blossoms,Food and Beverage,"1744 Columbia Rd, South Boston",02127,https://bostonbakedblossoms.com/,,hi@bostonbakedblooms.com,N/A
