Business Name,Business Type,Physical Location/Address,Business Zipcode,Business Website,Business Phone Number,Business Email,Other Information,Unnamed: 8,Unnamed: 9,Neighborhood
American Speech Coach,"Professional, Scientific, and Technical Services","3531 Washington St, Boston, MA ",2130,www.americanspeechcoach.com,2016754034,diandra@americanspeechcoach.com,,,,Jamaica Plain
Amorino Gelato,Accommodation and Food Services,"249 Newbury Street, Boston, MA, 02116",2116,No Website,6175853185,amorino101@gmail.com,Immigrant-owned,,,Back Bay/Beacon Hill
andreas vault,Retail Trade,44 linden street,2122,https://andreasvault.com,7818282888,info@andreasvault.com,Minority-owned,,,Dorchester
aneufit,Healthcare and Social Assistance,364 Boylston St. Fl4 Boston MA 02116,2116,www.aneufit.com,617-681-4776,info@aneufit.com,Minority-owned,,,Back Bay/Beacon Hill
"Arredondo Family Foundation, Inc.",Healthcare and Social Assistance,"4258 Washington Street, Suite 11",2131,https://arredondofoundation.org/,6176372054,melida@arredondofoundation.org,Minority-owned,,,Roslindale
"Artful D Creations, LLC",Other Services (Except Public Administration),No Physical Address,2136,https://www.artfuldcreations.com,8577195280,artfuldcreations@gmail.com,"Minority-owned, Immigrant-owned",,,Hyde Park
Avanti Studios,"Professional, Scientific, and Technical Services","46 Waltham St. Suite 109 Boston,MA",2118,www.avantistudios.com,6172300720,scoopmcd53@gmail.com,,,,South End
Awayte,Finance and Insurance,"Lawrence, MA",2101,https://www.awayte.com,212-931-0184,diane@awayte.com,Minority-owned,,,Central Boston
Ayana Mack Design,"Professional, Scientific, and Technical Services",Online,2126,https://www.ayanamack.co/,No Number,ayanamackdesign@gmail.com,Minority-owned,,,Mattapan
Bassick Real Estate Advisors,"Real Estate, Rental and Leasing","501 Boylston Street, 10th Floor",2116,bassickadvisors.com,6178007764,catherine@bassickadvisors.com,"Minority-owned, Immigrant-owned",,,Back Bay/Beacon Hill
Bead + Fiber,Retail Trade,460A Harrison Avenue,2118,http://www.beadandfiber.com,6174262323,sara@beadandfiber.com,Minority-owned,,,South End
Beckles Beauty LLC,Other Services (Except Public Administration),811 River St,2124,www.becklesbeauty.com,6176225324,Support@becklesbeauty.com,"Minority-owned, Immigrant-owned",,,Dorchester
Bee Chic Events,"Professional, Scientific, and Technical Services",Boston MA,2113,beechicevents.com,3392213092,info@beechicevents.com,Minority-owned,,,Central Boston
Bell Chiropractic Boston,Healthcare and Social Assistance,20 Park Plaza Suite 614,2116,www.bellchiropracticboston.com,6173567759,Harmony@bellchiropracticboston.com,,,,Back Bay/Beacon Hill
"Bento Real Estate Group, Inc. ","Real Estate, Rental and Leasing",685 East 5th Street,2127,http://www.bentorealestate.com/,617-901-9671,darcy@bentorealestate.com,,,,South Boston
Betty D’Minx,Retail Trade,Roxbury,2119,www.bettydminx.com,617.996.0055,Get@bettydminx.com,Minority-owned,,,Roxbury
Blue Booby,Environmental Services,665 Washington St Unit 1816,2111,No Website,2029996474,,Immigrant-owned,,,Central Boston
Blue Dynasty Entertainment and Travel,Accommodation and Food Services,PO Box 191911,2119,http://bluedynastyent.com,877-ENT-8003,Info@bluedynastyent.com,Minority-owned,,,Roxbury
Boston Baked Blossoms,Accommodation and Food Services,"1744 Columbia Rd, South Boston",2127,https://bostonbakedblossoms.com/,No Number,hi@bostonbakedblooms.com,,,,South Boston
Boston Chinatown Tours,Accommodation and Food Services,116 Lincoln St,2111,https://www.jacquelinechurch.com/chinatown-tours,6178514880,jacquelinechurch.consulting@gmail.com,Minority-owned,,,Central Boston
Boston Electrical Solutions Inc.,Construction,209 Eliot st,2186,No Website,6173220095,bostonelectricalsolutions@gmail.com,,,,Milton
Boston Got Next Entertainment,Information,1486 Dorchester Avenue #1,2124,https://bostongotnext.com,617-379-0194,bgn617@gmail.com,Minority-owned,,,Dorchester
Boston Kids,Retail Trade,Faneuil Hall Marketplace,2109,No Website,6176885967,susanluongo@outlook.com,,,,Central Boston
Boston Property Buyers,"Real Estate, Rental and Leasing",25 Dorchester Ave Ste: 51436,2205,https://bostonpropertybuyers.com/,617-420-7191,Yosh@ospropertygroup.com,"Minority-owned, Immigrant-owned",,,Central Boston
Boston Sports Leagues,"Amusement, Recreation, and Transportation",30 Newbury Street- 3rd Fl,2116,https://www.BostonSportsLeagues.com,6176515000,info@bostonsportsleagues.com,,,,Back Bay/Beacon Hill
Branch Venture Group,Finance and Insurance,"50 Milk Street, Fl 16 Boston MA ",2109,www.branchventuregroup.com,No Number,info@branchventuregroup.com,,,,Central Boston
Branchfood,"Professional, Scientific, and Technical Services","50 Milk Street, Floor 16 Boston MA ",2109,www.branchfood.com,No Number,info@branchfood.com,,,,Central Boston
Break of Dawn catering,Accommodation and Food Services,80 West Dedham St. 1506 Boston Ma.,2118,No Website,6178176130,Amstrokes617@gmail.com,Minority-owned,,,South End
BRENDA ANGEL'S SERVICES,"Professional, Scientific, and Technical Services",UNKNOWN,2124,No Website,No Number,BRENDAANGELSSERVICES@OUTLOOK.COM,Minority-owned,,,Dorchester
British Swim School - City of Boston ,Education,"111 Boylston St Brookline Ma, 55 Ariadne Rd. Dedham, Ma",2186,https://britishswimschool.com/city-of-boston/,617-910-2568,goswimboston@britishswimschool.com,Minority-owned,,,Milton
 LBM Jewelry,Retail Trade,"33 Dover Street   Unit 327. Brockton, Ma 02301",2301,www.lbmjewelry.com,No Number,Alycia@lbmjewelry.com,Minority-owned,,,Brockton
ButtaH Beauty,Retail Trade,Boston Ma,2126,buttahbeauty.com,6172914702,Info@buttahbeauty.com,Minority-owned,,,Mattapan
Butterflyfoxx Productions,Information,58 Dudley Street,2119,https://valeriefoxxbutterflyfoxxproductions.com/,6176782655,valerie.r.foxx@gmail.com,Minority-owned,,,Roxbury
Cambio Extremo Beauty Center LLC ,Healthcare and Social Assistance,4258 Washington St,2131,www.cambioextremo.us,8572377315,Aljoyalp2912@gmail.com,Minority-owned,,,Roslindale
Carnation Capital,"Professional, Scientific, and Technical Services",349 Pleasant Street,2148,https://www.carnationcapital.com,(857) 529-6995,info@carnationcap.com,,,,Malden
Casa Aroma Candles,Retail Trade,"Malden, MA",2148,No Website,No Number,casaaromacandles@gmail.com,Minority-owned,,,Malden
Casa Mia Tours,Accommodation and Food Services,Hyde Park,2136,www.casamiatours.com,7818599323,carolyn@casamiatours.com,,,,Hyde Park
Celeste & Park Pet Sitting,"Professional, Scientific, and Technical Services","Somerville, MA",2144,https://www.celesteparkpetsitting.com,No Number,celesteparkpetsitting@gmail.com,,,,Somerville
Che Iconic,"Professional, Scientific, and Technical Services","675 VFW PKWY BOSTON, MA",2131,CHEICONIC.COM,No Number,HELLO@CHEICONIC.COM,Minority-owned,,,Roslindale
Chelsealately,Other Services (Except Public Administration),1752 Dorchester ave ,2125,No Website,8573858111,Juschelz@icloud.com,,,,Dorchester
Cityhome ,Retail Trade,Commercial Wharf,2110,https://shopcityhome.com/,6788004313,rachel@shopcityhome.com,,,,Central Boston
Cobblestone Convenience LLC,Retail Trade,"24 Joy Street, Boston, MA",2114,https://www.facebook.com/cobblestoneconvenience/,6172565516,INFO@COBBLESTONECONVENIENCE.COM,,,,Central Boston
Come Dista ,Accommodation and Food Services,1742 Washington St,2118,http://www.comedista.com,4138888753,Kiernan@comedista.com,,,,South End
CravenRaven Boutique ,Retail Trade,20 Thatcher +B57:C58St,2136,https://cravenravenboutique.com/,8573184391,Officialcravenraven.com,Minority-owned,,,Hyde Park
Creative Contour by Carla ,Other Services (Except Public Administration),"750 American Legion Highway, Roslindale, MA ",2131,https://www.creativecontourbycarla.com,617-823-8048,Creativecontourbycarla@gmail.com ,,,,Roslindale
CRECK HEALTH & BEAUTY,Retail Trade,123A Alexander st,2125,No Website,6175300626,raysamw@yahoo.com,Minority-owned,,,Dorchester
CrownBox Gift Company ,Retail Trade,"757 Gallivan Blvd #1008 Dorchester, MA 02122 ",2122,www.CrownBoxCo.com,617-910-0535,Hello@crownboxco.com,Minority-owned,,,Dorchester
Crystal Trail Cleaning Services,"Professional, Scientific, and Technical Services","1 Shandon Road, Ste 313",2124,No Website,857 203 2380,crystaltrail360@gmail.com,"Minority-owned, Immigrant-owned",,,Dorchester
Culture Driven Growth ,"Professional, Scientific, and Technical Services","300 Bolyston St, Boston MA ",2116,https://CultureDrivenGrowth.com,3392220211,mary@culturedrivengrowth.com,,,,Back Bay/Beacon Hill
CURATED RENTALS ,"Professional, Scientific, and Technical Services","650 Eastern Ave. Malden, MA ",2148,www.curated-rentals.com,617-953-8917,info@curated-rentals.com,Minority-owned,,,Malden
Curation Agency ,"Professional, Scientific, and Technical Services","50 Milk St. Boston, MA ",2109,No Website,(617) 701-6003,diana@curation.agency ,Minority-owned,,,Central Boston
Curious Turk,Education,211 WACHUSETT ST,2130,https://www.ecegurler.com/,7737176243,info@ecegurler.com,Minority-owned,,,Jamaica Plain
D & D Towing,Transportation and Warehousing sector,1 Ellery st,2127,No Website,617-464-8697,dwhe605849@aol.com,,,,South Boston
D&A Solutions,"Professional, Scientific, and Technical Services",29 Tarbox st,2136,https://dasolutionsco.com/,6173099762,cleanedbydas@gmail.com,Minority-owned,,,Hyde Park
DavisKelly Certified Public Accountants,"Professional, Scientific, and Technical Services","4238 Washington Street, Ste. 307",2131,https://www.daviskellycpas.com/,(617) 390-5734,info@daviskellycpas.com,Minority-owned,,,Roslindale
Deirfiur Home,Retail Trade,"735 East Broadway, Boston, MA 02127",2127,https://www.deirfiurhome.com/,1 617-752-4182,caitlin@deirfiurhome.com,,,,South Boston
DeLuca's Market,Retail Trade,11 Charles St,2114,www.delucasmarket.com,617-523-4343,victoria.delucasmarket@gmail.com,,,,Central Boston
DEMP Agency,"Professional, Scientific, and Technical Services","46 Newton St Boston, MA",2135,dempagency.com,No Number,hello@dempagency.com,"Minority-owned, Immigrant-owned",,,Allston/Brighton
Dianna Mitchy Inc.,Healthcare and Social Assistance,425 Massachusetts Ave,2139,https://www.linkedin.com/in/dianna-mitchy/,800-208-1768 ext 711,chris@diannamitchy.com,"Minority-owned, Immigrant-owned",,,Cambridge
Dog Eat Cake Pet Bakery,Retail Trade,"298 Columbus Ave, Boston Ma",2116,www.dogeatcake.com,6176787000,woof@dogeatcake.com,,,,Back Bay/Beacon Hill
Dollhouse Vanity & Co.,Other Services (Except Public Administration),6 Hancock st ,2124,No Website,5083040885,Dollhousevanityco@gmail.com,Minority-owned,,,Dorchester
Dream Kid Spa,Other Services (Except Public Administration),15 Dana Ave. ,2316,www.dreamkidspa.com,617-800-0402,Info@dreamkidspa.com,"Minority-owned, Immigrant-owned",,,Brockton
Drumi,Retail Trade,31 St James Ave,2116,www.drumi.com,8444253556,kanchan@drumi.com,Immigrant-owned,,,Back Bay/Beacon Hill
Dudley Cafe,Accommodation and Food Services,15 Warren St,2119,https://www.dudleycafe.com/,6174451000,rokeya@shantiboston.com,"Minority-owned, Immigrant-owned",,,Roxbury
EcoBellas LLC,"Professional, Scientific, and Technical Services",East Boston,2128,cinderbellasecocleaning.com,6172370712,CinderbellasEcoCleaning@gmail.com,,,,East Boston
Ellisha Alexina Textiles,Manufacturing,"460 Harrison Ave, C3",2118,www.ellishaalexina.com,774-364-0179,ellisha@ellishaalexina.com,,,,South End
Erin Jackson Art ,Retail Trade,,2135,https://www.etsy.com/shop/ErinJacksonArt,No Number,erinlaselle@gmail.com,,,,Allston/Brighton
Essentially Yours LLC,Retail Trade,547 Hyde Park Avenue,2131,https://essentiallyyoursvending.com/,8572254247,eyvending@gmail.com,Minority-owned,,,Roslindale
Esthetics Center New England,"Professional, Scientific, and Technical Services",14 Mica Lane,2115,estheticscenterne.com,7812354957,info@estheticscenterne.com,Minority-owned,,,Fenway/Kenmore
Eva's Tailoring & Dry Cleaning Inc.,Other Services (Except Public Administration),537 Shawmut Avenue,2118,No Website,6172669275,evascleaners@verizon.net,Minority-owned,,,South End
Event Staffing by Josie,"Professional, Scientific, and Technical Services","23 Goodale Road, 1",2126,www.eventstaffingbyjosie.com,6173721720,josie@eventstaffingbyjosie.com,"Minority-owned, Immigrant-owned",,,Mattapan
Events planner,"Professional, Scientific, and Technical Services",54 Bicknell St. unit 1,2121,No Website,7577537551,She.operations@gmail.com,Minority-owned,,,Roxbury
Expozedtv llc ,Information,51 b st #6 Hanover Ma ,2339,www.expozedtv.com,6178942203,Expozed.ent@gmail.com,Minority-owned,,,Hanover
Eye Adore Threading,Other Services (Except Public Administration),120 Charles Street,2114,http://www.eyeadorethreading.com,857-263-8054,hello@eyeadorethreading.com,"Minority-owned, Immigrant-owned",,,Central Boston
Eye Adore Threading,Other Services (Except Public Administration),467 Shawmut Ave.,2118,http://www.eyeadorethreading.com,857-991-1020,hello@eyeadorethreading.com,"Minority-owned, Immigrant-owned",,,South End
F3 Wellness Connections,Healthcare and Social Assistance,15 Sandra Rd,2302,f3wellnessconnections.com,2026567330,sarah@f3wellnessconnections.com,"Minority-owned, Veteran-owned, Immigrant-owned",,,Brockton
Fatou Sy,"Professional, Scientific, and Technical Services",160 Crawford St ,2121,No Website,6175293718,Fatousy1229@gmail.com ,Minority-owned,,,Roxbury
Ferone Educational Consulting,Education,"Milton, MA",2186,https://www.feroneconsult.com/,6175043423,janet@feroneconsult.com,,,,Milton
Flair Boston,Retail Trade,140 Newbury Street,2116,https://flairbridesmaid.com/,16172472828,Stacey@flairbridesmaid.com,,,,Back Bay/Beacon Hill
FLORECEN,Education,161 South Huntington Avenue,2130,No Website,6175960038,deniseflores7@gmail.com,Minority-owned,,,Jamaica Plain
FLOW,"Professional, Scientific, and Technical Services",61 Ridgewood St. ,2122,No Website,617-372-4675,ladyflowceo@gmail.com,,,,Dorchester
Fountain Street,"Professional, Scientific, and Technical Services","4§0C Harrison Ave, Boston",2118,https://www.fsfaboston.com/,7742861800,director@fsfaboston.com,,,,South End
Full Circle Arts,"Professional, Scientific, and Technical Services",52 Birch Street,2131,https://www.full-circle-arts.com/,617-971-8951,FullOArts@gmail.com,,,,Roslindale
Full Moon Botanica,Healthcare and Social Assistance,"38 Gleason St, Boston, MA",2121,https://the-full-moon-botanica.myshopify.com/,857-209-8008,info@thefullmoonbotanica.com,Minority-owned,,,Roxbury
Fundamental Optical Solutions LLC,"Professional, Scientific, and Technical Services",543 Mass Ave. 3,2118,https://www.fundamentalopticalsolutions.com/,19788097759,gcoleiny@fundamentalopticalsolutions.com,Minority-owned,,,South End
Fynerthings Gifts,Retail Trade,19 old Morton at ,2126,No Website,8454611421,Fynerthings@gmail.com,Minority-owned,,,Mattapan
Gabriela Salas,"Professional, Scientific, and Technical Services",18 Baker St,2132,https://brandswithapurpose.com/,6178701379,gaby@brandswithapurpose.com,Minority-owned,,,West Roxbury
Gem Am I,Retail Trade,98 crestwood park,2121,No Website,8573089875,tlgmk123@gmail.com,Minority-owned,,,Roxbury
Gemmed by Gia LLC,"Professional, Scientific, and Technical Services","51 Washington St, Brighton, MA 02135",2135,gemmedbygia.com,8572505526,inquiries@gemmedbygia.com,Minority-owned,,,Allston/Brighton
Geri Paige Butner,"Professional, Scientific, and Technical Services","Seaport, Boston, MA",2210,https://www.geripaige.com/,No Number,No Email,,,,South Boston
Get Girls Going ,Education,Boston MA ,2125,https://www.getgirlsgoing.org/,5084509508,ggg@getgirlsgoing.org,Minority-owned,,,Dorchester
Golden Flor Wellness,Healthcare and Social Assistance,In-home support,2136,www.goldenflor.com,6179100498,goldenflorwellness@gmail.com,Minority-owned,,,Hyde Park
Grace Legal Support Services,"Professional, Scientific, and Technical Services",P.O Box 82,2131,www.gracelegalsupport.com,617-615-9701,wendy@gracelegalsupport.com,"Minority-owned, Veteran-owned",,,Roslindale
Greely Creative,"Professional, Scientific, and Technical Services",150 Poplar Street,2131,greelycreative.com,5083316318,beth@greelycreative.com,,,,Roslindale
GreenGear Supply Company Inc. ,Environmental Services,"Boston, MA",2116,greengearsupply.com,No Number,Info@greengearsupply.com,Minority-owned,,,Back Bay/Beacon Hill
"Groundations, LLC dba aneufit",Healthcare and Social Assistance,364 Boylston Street,2116,https://www.aneufit.com/,6176814776,info@aneufit.com,Minority-owned,,,Back Bay/Beacon Hill
Hablo Español ,Education,161 South Huntington Avenue,2130,No Website,6175960038,hehabloespanol@gmail.com,Minority-owned,,,Jamaica Plain
HAI Analytics,"Professional, Scientific, and Technical Services",67 2nd Street,2155,https://haianalytics.com/,6179344556,ecoleman@haianalytics.com,,,,Medford
Happy Hangups,Retail Trade,Faneuil Hall Marketplace,2109,No Website,6176885967,happyhangups@outlook.com,,,,Central Boston
Happy Places Plant Design,"Professional, Scientific, and Technical Services",Medford MA,2155,www.happyplacesplantdesign.com,6175016530,alyssa@happyplacesplantdesign.com,,,,Medford
High Tech Construction ,"Professional, Scientific, and Technical Services",Boston MA ,2119,hightechconstructionpros.com,(508) 308-4915,hightechconstructionpros@outlook.com,"Minority-owned, Immigrant-owned",,,Roxbury
"Holistically You, Inc.","Professional, Scientific, and Technical Services","100A Warren Street, Suite 1, Roxbury",2119,http://www.holisticallyyouinc.com,6172866861,vanessa@holisticallyyouinc.com,Minority-owned,,,Roxbury
Home Care Heroes Group,Healthcare and Social Assistance,26 True St.,2151,No Website,13394406500,homecareheroesgroup@gmail.com,,,,Revere
Honeycomb Collaborative,"Professional, Scientific, and Technical Services","Melrose, MA",2176,https://honeycombcollaborative.com/,6173834115,tara.pastina@honeycombcollaborative.com,Minority-owned,,,Melrose
Honor Code Creative LLC,"Professional, Scientific, and Technical Services",84 CLIFFORD ST,2176,https://www.honorcodecreative.com/,6176458494,susanne@honorcodecreative.com,Minority-owned,,,Melrose
I  AM AMBIANCE ENTERPRISES LLC,Other Services (Except Public Administration),811 River Street,2136,www.iamambiancellc.com,16176209254,support@iamambiancellc.com,Minority-owned,,,Hyde Park
"IMMAD, LLC","Professional, Scientific, and Technical Services",62 Forest Ave,2169,No Website,6173478737,deniseavalenti@gmail.com,,,,Quincy
Infinite Beauty Lounge,Other Services (Except Public Administration),"75 Adams St, suite F (2nd floor)",2186,www.infinitebeautyloungema.com,617-319-9404,Infinitebeautylounge@gmail.com,Immigrant-owned,,,Milton
Informatix Health,Healthcare and Social Assistance,55 Knapp Center,2301,www.informatixhealth.com,5085847956,jonyango@informatixhealth.com,"Minority-owned, Immigrant-owned",,,Brockton
INNOVENUS,"Professional, Scientific, and Technical Services",867 Boylston St,2199,No Website,9152276277,mgconsultant@outlook.com,"Minority-owned, Immigrant-owned",,,Back Bay/Beacon Hill
Interactive Construction Inc.,Construction,9 M Street,2127,No Website,6177997900,RockHillPartners@protonmail.com,Immigrant-owned,,,South Boston
Iterators LLC,"Professional, Scientific, and Technical Services","50 Milk Street, Boston, MA 02109",2109,https://Iteratorstesting.com,617-909-0564,jwillcox@iteratorstesting.com,,,,Central Boston
Ivy’s Crown HC,Healthcare and Social Assistance,59-69 MSGR LYDON WAY BOSTON MA ,2124,No Website,6172300680,ivyscrownhc@gmail.com,,,,Dorchester
J. Ventures International LLC ,"Professional, Scientific, and Technical Services",757 Gallivan Blvd. Boston Ma,2122,jventuresinternational.com,6174196725,Hello@jventuresinternational.com,Minority-owned,,,Dorchester
J’ Allure Interior Design & Consulting ,"Professional, Scientific, and Technical Services",764 Washington st,2124,https://www.jalluredesigns.com/,617-615-6549,Janice@jalluredesigns.com,Minority-owned,,,Dorchester
JaJa Co,Construction,8 Mt. Auburn St.,2138,http://ja-ja.co,No Number,info@deptofarchitecture.com,Minority-owned,,,Cambridge
JaMa Professional Cleaning,"Professional, Scientific, and Technical Services",1269 Hyde Park Ave395667,2136,www.jamaprocleaning.com,11617899438,maria@jamapro.com,Minority-owned,,,Hyde Park
Jenn Márquez Photographer,"Professional, Scientific, and Technical Services","Boston, MA",2131,www.jennmarquez.com,No Number,jmarquezphotography@gmail.com,Minority-owned,,,Roslindale
Jennifer Sahady,Education,Commonwealth Ave,2215,https://www.jennifersahady.com/,(617) 752-1737,jennifer@jennifersahady.com,,,,Fenway/Kenmore
Jlw Medical Management Consulting,"Professional, Scientific, and Technical Services",30 Newbury street,2116,No Website,857-260-8010,Jessica.Whitfield@jlwmedicalmanagement.com,Minority-owned,,,Back Bay/Beacon Hill
JLW Medical Management Consulting,"Professional, Scientific, and Technical Services","594 Hollis Street, Framingham, MA, 01702",2116,https://jlwmedicalmanagement.net,857-444-5444,info@jlwmedicalmanagement.net,"Minority-owned, N/A",,,Back Bay/Beacon Hill
JLW Medical Management Consulting ,"Professional, Scientific, and Technical Services",399 Boylston Street,2116,www.jlwmedicalmh.com,8572420222,info@jlwmedicalmh.com,Minority-owned,,,Back Bay/Beacon Hill
Jocelyn Manjarrez,"Professional, Scientific, and Technical Services",206 Commonwealth Ave Apt 5,2116,https://ontomortgage.com/team-member/jocelyn-manjarrez/,617-335-5513,jmanjarrez@ontomortgage.com,,,,Back Bay/Beacon Hill
JoyefullyNatural,Healthcare and Social Assistance,40 Wales St,2124,No Website,8577195144,joyefullynatural@gmail.com,Minority-owned,,,Dorchester
"Justice For Housing, Inc","Professional, Scientific, and Technical Services",41 Round Hill Street,2130,https://www.justice4housing.org,18572585052,lcredle@justice4housing.org,Minority-owned,,,Jamaica Plain
Karen Brodie,Construction,"1 Westinghouse Plaza, A207",2136,No Website,617-593-8986,B.i.group25@gmail.com ,Minority-owned,,,Hyde Park
Kay's Curries,Accommodation and Food Services,Melrose,2176,kayscurries.com,781-606-0850,kay@kayscurries.com,"Minority-owned, Immigrant-owned",,,Melrose
KeepIt Financial LLC,"Professional, Scientific, and Technical Services","415 Washington Street, Brookline, MA ",2445,https://www.keepitfinancial.com/,6173887272,emily@keepitfinancial.com,,,,Brookline
Kiddies Corner ,Education,858 Morton St.,2126,No Website,No Number,Kiddiescenter123@gmail.com,"Minority-owned, Immigrant-owned",,,Mattapan
kiddies Corner Childcare ,Education,858 Morton Street,2126,No Website,6178402814,kiddiescenter123@ gmail.com,"Minority-owned, Immigrant-owned",,,Mattapan
Kilvert & Forbes Bake Shop,Accommodation and Food Services,200 Faneuil Hall Marketplace,2109,www.quincymarketsweets.com,617-723-6050,Syoungelson@aol.com,,,,Central Boston
KINGS & QUEENS CONSULTING LLC,"Professional, Scientific, and Technical Services",859 WILLARD STREET SUITE 400,2169,www.kingsandqueensconsultingllc.com,857-241-0400,whitneymiller@kingsandqueensconsultingllc.com,Minority-owned,,,Quincy
KQs BUTTA,"Professional, Scientific, and Technical Services",10 Peirce Ave,2149,https://kqsbutta.com/,16176023976,CHANDARENEE@HOTMAIL.COM,Minority-owned,,,Everett
Kristin Simone with Grant Boutique Design house & Agency ,Retail Trade,Remote,2116,http://www.thegrantboutique.com,8572888227,inquire@kristinsimone.com,"Minority-owned, Immigrant-owned",,,Back Bay/Beacon Hill
"Kristina Melendez, Realtor","Real Estate, Rental and Leasing","Boston, MA",2122,https://kristinamelendez.kw.com,6177043818,kristinamelendez@kw.com,Minority-owned,,,Dorchester
Krystyn Elek - Unlimited Sotheby’s International Realty,"Professional, Scientific, and Technical Services",673 Centre St,2130,http://krystynsellshomes.com,8432095044,krystyn.elek@unlimitedsir.com,Minority-owned,,,Jamaica Plain
"L.E.Creamer and Co. - Professional Organizing, Decluttering, Styling, and Sourcing","Professional, Scientific, and Technical Services",,2129,https://www.lecreamerandco.com/,617-286-6166,lecreamerandco@gmail.com,,,,Charlestown
Lègere Loungewear ,Retail Trade,"139 Main Street, North Easton, MA 02356",2356,No Website,6178690328,No Email,,,,North Easton
Lanique + Co,Retail Trade,198 Tremont St Ste 411,2116,http://www.laniqueandco.com,305-780-6270,Gratitude@laniqueandco.com,Minority-owned,,,Back Bay/Beacon Hill
LEVATUS Wealth Services,"Professional, Scientific, and Technical Services",129 Newbury Street Suite 300,2116,https://www.levatuswealth.com/,617-505-4710,jgrande@levatuswealth.com,,,,Back Bay/Beacon Hill
Lindsey Canant Brand & Marketing,"Professional, Scientific, and Technical Services",17 Worcester Street,2118,lindseycanant.com,No Number,lindsey@lindseycanant.com,,,,South End
Little Cocoa Bean Co. ,Retail Trade,"114 South Street, Jamaica Plain, MA 02131 (we're in construction)",2131,www.littlecocoabeanco.com ,6173313226,tskelly@littlecocoabeanco.com,Minority-owned,,,Roslindale
Little Pickins,Retail Trade,196 Quincy St (where we produce product) / Grocery stores throughout New England (where we sell product),2121,https://littlepickins.com/,No Number,hello@littlepickins.com,,,,Roxbury
Little Spanish Garden Family Childcare,Education,15 Lothrop avenue,2186,No Website,6178589743,yalennysvelazquez@hotmail.com,,,,Milton
Live Bravely,Healthcare and Social Assistance,"30 Newbury St, Suite 3",2116,https://www.bravelytogether.com,No Number,hello@bravelytogether.com,,,,Back Bay/Beacon Hill
LLC,"Professional, Scientific, and Technical Services","PO BOX 255278 BOSTON, MA 02125",2125,https://www.komodotech.io/,8573125714,angelica.arnoux@ktechboston.com,Minority-owned,,,Dorchester
Lobos Enterprise LLC,"Amusement, Recreation, and Transportation","42 Corinth St, Roslindale, MA",2131,www.LePetitSpace.com,8572699420,info@lepetitspace.com,Minority-owned,,,Roslindale
LORD & Stovell dba EXIT Bayside Realty,"Real Estate, Rental and Leasing",1810 Dorchester Ave. #9C,2124,https://www.EXITbaysideRealty.com,617-265-6111,Info@EXITBaysideRealty.com,"Minority-owned, Immigrant-owned",,,Dorchester
Love Balungi,Manufacturing,123 Antwerp St. ,2135,https://lovebalungi.com,857-218-0977,lovebalungi@gmail.com,Minority-owned,,,Allston/Brighton
